Date,Medicine,Unit_sold,Unit_Price,Total_Sales,Discount,Store_Location,Promotion,Customer_Age_Group
2023-01-01,Paracetamol,30,5.0,150.0,2.99,Norte,False,36-45
2023-01-01,Ibuprofeno,18,5.67,102.06,3.25,Oeste,False,46-60
2023-01-01,Amoxicilina,22,9.51,209.22,0.04,Centro,False,36-45
2023-01-01,Loratadina,16,5.2,83.2,3.09,Este,False,18-25
2023-01-01,Omeprazol,21,2.37,49.77,0.33,Este,False,26-35
2023-01-02,Paracetamol,16,5.08,81.28,3.05,Sur,False,46-60
2023-01-02,Ibuprofeno,24,3.46,83.03999999999999,1.04,Este,False,26-35
2023-01-02,Amoxicilina,21,8.2,172.2,0.44,Este,True,60+
2023-01-02,Loratadina,17,5.11,86.87,1.78,Este,False,60+
2023-01-02,Omeprazol,24,3.13,75.12,4.93,Centro,False,36-45
2023-01-03,Paracetamol,23,3.59,82.57,3.03,Norte,False,18-25
2023-01-03,Ibuprofeno,25,9.32,233.0,0.48,Oeste,False,36-45
2023-01-03,Amoxicilina,25,6.49,162.25,1.18,Sur,False,26-35
2023-01-03,Loratadina,13,2.2,28.6,3.18,Este,False,46-60
2023-01-03,Omeprazol,16,9.26,148.16,3.78,Este,False,36-45
2023-01-04,Paracetamol,26,7.56,196.56,1.48,Oeste,False,46-60
2023-01-04,Ibuprofeno,19,3.75,71.25,1.62,Este,False,18-25
2023-01-04,Amoxicilina,22,4.18,91.96,1.76,Sur,True,36-45
2023-01-04,Loratadina,16,5.34,85.44,1.69,Sur,False,18-25
2023-01-04,Omeprazol,11,5.23,57.53,1.23,Norte,False,60+
2023-01-05,Paracetamol,20,4.28,85.60000000000001,1.39,Centro,False,26-35
2023-01-05,Ibuprofeno,19,6.25,118.75,2.96,Sur,False,18-25
2023-01-05,Amoxicilina,18,7.83,140.94,3.17,Sur,False,18-25
2023-01-05,Loratadina,20,3.21,64.2,4.29,Este,False,36-45
2023-01-05,Omeprazol,25,7.69,192.25,0.48,Centro,False,26-35
2023-01-06,Paracetamol,22,8.7,191.39999999999998,1.05,Norte,False,46-60
2023-01-06,Ibuprofeno,32,3.4,108.8,4.41,Centro,False,36-45
2023-01-06,Amoxicilina,24,7.81,187.44,0.42,Este,False,46-60
2023-01-06,Loratadina,18,6.65,119.7,4.87,Norte,False,26-35
2023-01-06,Omeprazol,15,5.88,88.2,2.47,Este,False,36-45
2023-01-07,Paracetamol,21,7.26,152.46,1.84,Oeste,False,36-45
2023-01-07,Ibuprofeno,18,5.48,98.64000000000001,3.34,Centro,False,60+
2023-01-07,Amoxicilina,21,5.99,125.79,0.22,Este,False,60+
2023-01-07,Loratadina,26,4.24,110.24000000000001,4.77,Oeste,False,60+
2023-01-07,Omeprazol,17,6.58,111.86,1.34,Sur,False,18-25
2023-01-08,Paracetamol,12,5.16,61.92,3.36,Norte,False,26-35
2023-01-08,Ibuprofeno,23,9.02,207.45999999999998,3.51,Oeste,False,26-35
2023-01-08,Amoxicilina,20,8.48,169.60000000000002,3.99,Centro,True,46-60
2023-01-08,Loratadina,19,9.09,172.71,1.64,Norte,False,60+
2023-01-08,Omeprazol,26,8.71,226.46000000000004,0.19,Sur,False,18-25
2023-01-09,Paracetamol,19,8.62,163.77999999999997,0.97,Sur,False,46-60
2023-01-09,Ibuprofeno,19,3.06,58.14,1.25,Norte,False,18-25
2023-01-09,Amoxicilina,19,7.51,142.69,0.47,Centro,False,60+
2023-01-09,Loratadina,20,7.11,142.20000000000002,2.18,Oeste,False,46-60
2023-01-09,Omeprazol,15,6.53,97.95,1.71,Este,True,18-25
2023-01-10,Paracetamol,24,4.49,107.76,2.32,Oeste,False,26-35
2023-01-10,Ibuprofeno,26,9.59,249.34,0.08,Sur,False,18-25
2023-01-10,Amoxicilina,22,6.32,139.04000000000002,4.72,Norte,True,36-45
2023-01-10,Loratadina,22,8.41,185.02,0.64,Oeste,False,60+
2023-01-10,Omeprazol,25,7.01,175.25,1.03,Oeste,True,26-35
2023-01-11,Paracetamol,22,2.31,50.82,3.28,Oeste,False,26-35
2023-01-11,Ibuprofeno,17,4.72,80.24,3.46,Norte,False,60+
2023-01-11,Amoxicilina,19,2.31,43.89,2.74,Oeste,False,36-45
2023-01-11,Loratadina,19,9.92,188.48,3.88,Oeste,False,60+
2023-01-11,Omeprazol,16,7.92,126.72,2.67,Este,False,60+
2023-01-12,Paracetamol,18,9.16,164.88,4.53,Este,False,46-60
2023-01-12,Ibuprofeno,30,9.6,288.0,3.16,Oeste,True,46-60
2023-01-12,Amoxicilina,22,4.63,101.86,3.96,Centro,False,60+
